,my_model_narrow_band,my_model_wide_band,speechbrain_narrow_band,speechbrain_wide_band
0,2.064934015274048,1.46522057056427,2.0886542797088623,1.335984706878662
1,1.8955481052398682,1.3965896368026733,2.211423397064209,1.4278841018676758
2,2.2686660289764404,1.7066376209259033,2.38562273979187,1.5390350818634033
3,1.897437572479248,1.466454267501831,2.4621150493621826,1.775683879852295
4,2.250033378601074,1.5456197261810303,2.392794132232666,1.4786649942398071
5,2.2547802925109863,1.5422759056091309,2.4976377487182617,1.618211030960083
6,2.5267510414123535,1.8265151977539062,2.120541572570801,1.5264642238616943
7,2.0320372581481934,1.5910757780075073,1.3210058212280273,1.0797317028045654
8,1.9590175151824951,1.4097826480865479,1.5536863803863525,1.1224439144134521
9,2.5497732162475586,1.7329813241958618,1.8571574687957764,1.3117469549179077
10,1.976891279220581,1.250504732131958,2.2201757431030273,1.3373167514801025
11,2.4800567626953125,1.718631625175476,2.487088680267334,1.678219199180603
12,2.3953635692596436,1.7005362510681152,2.652339220046997,1.7410839796066284
13,2.3930256366729736,1.7566473484039307,2.2502853870391846,1.5671273469924927
14,2.075032949447632,1.4454749822616577,1.9196698665618896,1.2762645483016968
15,2.444197177886963,1.7451715469360352,2.737985372543335,1.7825145721435547
16,2.4979848861694336,1.5696357488632202,2.5627005100250244,1.556557059288025
17,2.367136240005493,1.6550661325454712,2.0733821392059326,1.3165514469146729
18,2.7236599922180176,2.0970687866210938,2.730071783065796,1.9101216793060303
19,2.513906240463257,2.006920099258423,2.550943374633789,1.9266806840896606
